2025-09-11 09:31:26,788 - INFO - Loading dataset from D:/Shantanu/MBTR/PI-SGAN/DATA/Images/MobilTelesco/train...
2025-09-11 09:33:36,047 - INFO - Loading dataset from D:/Shantanu/MBTR/DATA/Images/MobilTelesco/train...
2025-09-11 09:33:36,049 - INFO - Loaded 952 images from D:/Shantanu/MBTR/DATA/Images/MobilTelesco/train
2025-09-11 09:33:36,049 - INFO - Dataset loaded with 952 images
2025-09-11 09:33:36,049 - INFO - Initializing generator and critic...
2025-09-11 09:33:36,147 - INFO - Networks and optimizers initialized
2025-09-11 09:33:36,147 - INFO - Initializing metrics...
2025-09-11 09:33:36,472 - INFO - Metrics initialized: FID, Inception
2025-09-11 09:33:36,472 - INFO - Starting training for 100 epochs...
2025-09-11 09:33:36,479 - INFO - Epoch 0/99 started
2025-09-11 09:46:02,678 - INFO - Batch 137/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:46:08,041 - INFO - Batch 138/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:46:13,394 - INFO - Batch 139/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:46:18,749 - INFO - Batch 140/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:46:24,100 - INFO - [Epoch 0/99] [Batch 140/476] [C loss: nan] [G loss: nan]
2025-09-11 09:46:24,106 - INFO - Batch 141/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:46:29,461 - INFO - Batch 142/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:46:34,811 - INFO - Batch 143/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:46:40,170 - INFO - Batch 144/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:46:45,520 - INFO - Batch 145/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:46:50,881 - INFO - Batch 146/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:46:56,240 - INFO - Batch 147/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:01,597 - INFO - Batch 148/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:06,954 - INFO - Batch 149/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:12,315 - INFO - Batch 150/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:17,658 - INFO - [Epoch 0/99] [Batch 150/476] [C loss: nan] [G loss: nan]
2025-09-11 09:47:17,664 - INFO - Batch 151/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:23,019 - INFO - Batch 152/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:28,373 - INFO - Batch 153/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:33,728 - INFO - Batch 154/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:39,082 - INFO - Batch 155/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:44,439 - INFO - Batch 156/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:49,798 - INFO - Batch 157/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:47:55,157 - INFO - Batch 158/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:48:00,513 - INFO - Batch 159/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:48:05,869 - INFO - Batch 160/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:48:11,219 - INFO - [Epoch 0/99] [Batch 160/476] [C loss: nan] [G loss: nan]
2025-09-11 09:48:11,226 - INFO - Batch 161/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:48:16,586 - INFO - Batch 162/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:48:21,938 - INFO - Batch 163/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:48:27,294 - INFO - Batch 164/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:48:32,647 - INFO - Batch 165/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
